com.sonymobile.sketch	ART_AND_DESIGN	238,666	100 M
com.sec.penup	ART_AND_DESIGN	15,014	50 M
com.appsilicious.wallpapers	ART_AND_DESIGN	400,353	10 M
com.canva.editor	ART_AND_DESIGN	392,824	10 M
jp.ne.ibis.ibispaintx.app	ART_AND_DESIGN	274,307	10 M
com.medibang.android.paint.tablet	ART_AND_DESIGN	154,068	10 M
com.sweetsugar.pencileffectfree	ART_AND_DESIGN	92,761	10 M
com.fashion.tattoo.name.my.photo.editor	ART_AND_DESIGN	46,768	10 M
com.vblast.flipaclip	ART_AND_DESIGN	229,029	5 M
com.phone.launcher.lite	ART_AND_DESIGN	120,034	5 M
com.phone.launcher.android	ART_AND_DESIGN	102,609	5 M
com.eyewind.paperone	ART_AND_DESIGN	73,645	5 M
com.jdpapps.textt1	ART_AND_DESIGN	66,612	5 M
com.madcat.easyposer	ART_AND_DESIGN	49,878	5 M
pl.planmieszkania.android	ART_AND_DESIGN	39,216	5 M
com.picsart.animate	ART_AND_DESIGN	31,591	5 M
com.tattoo.maker.design.app	ART_AND_DESIGN	25,991	5 M
virtualgs.kidspaint	ART_AND_DESIGN	15,914	5 M
com.creative.Learn.to.draw.flowers	ART_AND_DESIGN	14,585	5 M
com.wahyuashari.glitchapp	ART_AND_DESIGN	12,458	5 M
uk.photoscar.toon.editor	ART_AND_DESIGN	90,071	1 M
air.com.KalromSystems.SandDrawLite	ART_AND_DESIGN	84,180	1 M
com.figuromo.colorminiscollections	ART_AND_DESIGN	43,860	1 M
com.brakefield.painter	ART_AND_DESIGN	38,959	1 M
com.bingzer.android.stickdraw	ART_AND_DESIGN	36,564	1 M
com.gamesdev.cartoon	ART_AND_DESIGN	36,072	1 M
com.brakefield.idfree	ART_AND_DESIGN	34,213	1 M
com.teazel.coloring	ART_AND_DESIGN	31,553	1 M
com.cyou.cma.clauncher.theme.v542279ccb70366ba6adf1de2	ART_AND_DESIGN	29,873	1 M
com.barilab.katalksketch.googlemarket	ART_AND_DESIGN	29,489	1 M
